id,url,header,price,refresh_date,created_timestamp
869200349,https://www.otomoto.pl/osobowe/oferta/toyota-auris-benzyna-salon-polska-bezwypadkowa-ID6FTEX7.html,"Toyota Auris benzyna, salon Polska, bezwypadkowa.",33 900 zł,Kościerzyna - 01 listopada 2023,2023-11-07 21:13:22
864239375,https://www.olx.pl/d/oferta/ford-focus-2014r-maly-przebieg-prywatnie-CID5-IDVug8L.html,Ford Focus 2014r mały przebieg ! Prywatnie,28 500 złdo negocjacji,Kobyłka - 25 października 2023,2023-11-07 21:13:22
874945396,https://www.olx.pl/d/oferta/dacia-logan-2018-rok-okazja-CID5-IDXdbgv.html,"Dacia Logan 2018 rok, okazja!",20 800 złdo negocjacji,"Warszawa, Ursus - Odświeżono Dzisiaj o 13:25",2023-11-07 21:13:22
851223576,https://www.olx.pl/d/oferta/citroen-c-elysee-2018-lift-CID5-IDWBE8v.html,Citroen C-Elysee 2018 lift,31 500 zł,Ozorków - Odświeżono Dzisiaj o 19:56,2023-11-07 21:13:22
875623864,https://www.olx.pl/d/oferta/ford-focus-mk3-2013-CID5-IDXg1Ly.html,Ford focus mk3 2013,22 000 zł,"Kraków, Dębniki - Dzisiaj o 19:48",2023-11-07 21:13:22
875622781,https://www.olx.pl/d/oferta/renault-clio-2013-salonpl-1-wlasciciel-CID5-IDXg1u5.html,Renault Clio 2013* SalonPL 1 właściciel,27 500 złdo negocjacji,Czapury - Dzisiaj o 19:42,2023-11-07 21:13:22
870420631,https://www.olx.pl/d/oferta/ford-focus-1-0-eco-boost-CID5-IDVUcar.html,Ford focus 1.0 Eco boost,25 500 zł,Sieradz - Dzisiaj o 19:33,2023-11-07 21:13:22
866229141,https://www.olx.pl/d/oferta/renault-twingo-2019r-CID5-IDVCBLL.html,Renault twingo 2019r,31 500 zł,Wola Kopcowa - Dzisiaj o 18:21,2023-11-07 21:13:22
870505281,https://www.otomoto.pl/osobowe/oferta/dacia-logan-dacia-logan-kombi-pierwszy-wlasciciel-bezwypadkowe-ID6FUyWq.html,"Dacia Logan Dacia Logan kombi, pierwszy właściciel, bezwypadkowe",27 000 zł,"Warszawa, Ursus - Odświeżono Dzisiaj o 17:59",2023-11-07 21:13:22
857150812,https://www.otomoto.pl/osobowe/oferta/dacia-dokker-1-2-tce-115-km-laureate-super-stan-ID6FLoQl.html,"Dacia Dokker 1,2 TCE 115 KM Laureate Super Stan",27 900 złdo negocjacji,Wojkowice - Dzisiaj o 17:59,2023-11-07 21:13:22
872722127,https://www.otomoto.pl/osobowe/oferta/opel-astra-1-6-lpg-krajowy-klimatronik-gwarancja-ID6FVo0h.html,"Opel Astra 1,6 LPG, Krajowy, Klimatronik, Gwarancja",33 900 złdo negocjacji,Radlin - Dzisiaj o 17:54,2023-11-07 21:13:22
872733257,https://www.otomoto.pl/osobowe/oferta/toyota-avensis-t27-lift-2013r-1-6i-lpg-gaz-salon-polska-clima-alu-led-elektryka-ID6FVnLY.html,Toyota Avensis T27 Lift 2013r 1.6i + LPG/gaz Salon Polska Clima Alu LED Elektryka,33 900 złdo negocjacji,Damice - Dzisiaj o 17:42,2023-11-07 21:13:22
870871774,https://www.olx.pl/d/oferta/prywatne-dacia-dokker-CID5-IDVV5vV.html,Prywatne Dacia Dokker,30 900 złdo negocjacji,Żory - Odświeżono Dzisiaj o 17:29,2023-11-07 21:13:22
865181578,https://www.otomoto.pl/osobowe/oferta/hyundai-elantra-ID6FQw9h.html,Hyundai Elantra,32 900 zł,Szczecin - 06 listopada 2023,2023-11-07 21:13:22
873405862,https://www.otomoto.pl/osobowe/oferta/ford-focus-niski-przebieg-zadbany-ID6FVLMU.html,"Ford Focus Niski przebieg, zadbany!",26 900 zł,Kwaczała - 01 listopada 2023,2023-11-07 21:13:22
872713004,https://www.olx.pl/d/oferta/skoda-fabia-1-2tsi-86km-stan-bdb-zadbana-niemcy-bogate-wyposazenie-CID5-IDX3Ovc.html,Skoda Fabia 1.2Tsi 86KM Stan Bdb Zadbana Niemcy Bogate Wyposażenie!,22 900 złdo negocjacji,Dębica - Odświeżono dnia 03 listopada 2023,2023-11-07 21:13:22
837248056,https://www.olx.pl/d/oferta/skoda-fabia-1-0-ambition-salon-i-wlasciciel-vat23-serwis-CID5-IDUF0sU.html,"Skoda Fabia 1,0 Ambition Salon I właściciel VAT23 serwis",27 500 zł,Grodzisk Mazowiecki - Dzisiaj o 17:14,2023-11-07 21:13:22
869664798,https://www.otomoto.pl/osobowe/oferta/skoda-rapid-skoda-rapid-1-2-tsi-110km-okazja-ID6FU2xf.html,Skoda RAPID Skoda RAPID 1.2 TSI 110km Okazja!,22 999 zł,Wodzisław Śląski - Dzisiaj o 16:52,2023-11-07 21:13:22
867638106,https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-1-6-benzyna-kombi-ogloszenie-prywatne-ID6FQvfY.html,"Ford Focus Ford Focus MK3, 1.6 benzyna/ kombi, ogłoszenie prywatne",25 700 zł,Elbląg - Dzisiaj o 16:52,2023-11-07 21:13:22
869659369,https://www.otomoto.pl/osobowe/oferta/ford-focus-focus-1-5-150km-wroclaw-salon-polska-ID6FU2qb.html,Ford Focus Focus 1.5 150KM Wrocław Salon Polska,33 000 złdo negocjacji,"Wrocław, Psie Pole - Dzisiaj o 16:26",2023-11-07 21:13:22
874044419,https://www.otomoto.pl/osobowe/oferta/dacia-logan-benzynka-5d-zarejestrowany-hak-klima-alu-serwis-f-vat-ID6FXcpN.html,Dacia Logan BENZYNKA 5d zarejestrowany HAK klima ALU serwis F.Vat,22 900 zł,Drezdenko - Dzisiaj o 16:25,2023-11-07 21:13:22
875573121,https://www.otomoto.pl/osobowe/oferta/peugeot-301-ID6FY2TT.html,Peugeot 301,28 000 zł,"Warszawa, Ochota - Dzisiaj o 16:24",2023-11-07 21:13:22
869658941,https://www.otomoto.pl/osobowe/oferta/ford-focus-1-0-benzyna-125km-2017r-ID6FU2kN.html,Ford Focus 1.0 benzyna 125KM 2017r,33 700 zł,"Warszawa, Białołęka - Dzisiaj o 16:24",2023-11-07 21:13:22
850902933,https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-klima-z-niemiec-ID6FGSdc.html,Ford Focus Ford Focus 1.0 EcoBoost ** KLIMA ** z Niemiec,21 900 zł,Gostynin - Dzisiaj o 16:24,2023-11-07 21:13:22
871114548,https://www.otomoto.pl/osobowe/oferta/opel-astra-opel-astra-1-4t-cosmo-lift-nawigacja-chromy-alu-zarejestrowana-ID6FW6wH.html,Opel Astra Opel Astra 1.4t Cosmo LIFT Nawigacja Chromy Alu Zarejestrowana,31 900 złdo negocjacji,Płock - Dzisiaj o 16:22,2023-11-07 21:13:22
